category_code,brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,overall_conversion_rate,min_price,max_price,avg_price
sport.trainer,kukmara,31,2,0,0.0645,0,0,16.47,38.31,32.4339726
Unknown,dauscher,30,3,2,0.1,0.6667,0.0667,15.42,514.79,368.7972527
Unknown,viatti,30,4,1,0.1333,0.25,0.0333,35,83.66,49.49621212
appliances.kitchen.blender,vitek,30,4,3,0.1333,0.75,0.1,23.14,71.98,38.73086957
appliances.kitchen.refrigerators,atlant,30,2,1,0.0667,0.5,0.0333,132.73,484.99,254.7627523
construction.tools.generator,Unknown,30,2,0,0.0667,0,0,11.2,154.43,40.65691589
construction.tools.saw,Unknown,30,1,0,0.0333,0,0,8.86,2574.07,374.3413433
electronics.clocks,ariston,30,2,2,0.0667,1,0.0667,85.69,1212.94,148.8758879
furniture.bedroom.blanket,arg,30,1,1,0.0333,1,0.0333,48.88,59.18,53.82225806
furniture.kitchen.chair,Unknown,30,0,0,0,,0,4.09,300.11,56.53688525
Unknown,kipardo,29,4,1,0.1379,0.25,0.0345,200.78,539.32,354.5318333
Unknown,matador,29,4,1,0.1379,0.25,0.0345,34.75,341.32,66.94470588
apparel.shoes.step_ins,intel,29,0,0,0,,0,45.56,1058.86,260.9583333
apparel.tshirt,Unknown,29,1,0,0.0345,0,0,1.8,1106.85,486.1146154
apparel.underwear,respect,29,0,0,0,,0,51.22,83.14,64.16015873
apparel.underwear,walkmaxx,29,0,0,0,,0,30.86,41.16,40.88162162
appliances.environment.air_heater,gigabyte,29,2,3,0.069,1.5,0.1034,38.62,1548.3,331.0855405
appliances.kitchen.refrigerators,midea,29,0,0,0,,0,109.91,1101.14,349.2279762
electronics.tablet,Unknown,29,3,1,0.1034,0.3333,0.0345,1.34,558.55,84.32988764
Unknown,powertrac,28,3,2,0.1071,0.6667,0.0714,22.65,127.29,48.24754386
Unknown,rondell,28,0,0,0,,0,5.12,149.27,69.88470588
Unknown,sv,28,0,1,0,,0.0357,84.17,565.52,282.9318605
accessories.bag,respect,28,0,0,0,,0,33.21,89.84,55.05098039
apparel.shoes.step_ins,amd,28,0,0,0,,0,48.14,1430.35,227.4359677
appliances.kitchen.refrigerators,acer,28,1,0,0.0357,0,0,190.2,2531.45,580.219863
computers.peripherals.mouse,respect,28,0,0,0,,0,32.95,92.41,58.99047619
electronics.audio.microphone,defacto,28,0,0,0,,0,6.41,33.44,14.15954545
electronics.audio.microphone,valkiria,28,0,0,0,,0,18.02,43.5,24.93780488
electronics.audio.subwoofer,pioneer,28,0,1,0,,0.0357,25.74,265.13,70.59558824
sport.trainer,karcher,28,0,0,0,,0,66.69,1093.96,326.7185075
Unknown,brw,27,1,0,0.037,0,0,32.18,480.32,156.2601887
accessories.wallet,neoline,27,1,0,0.037,0,0,48.88,323.83,163.9829167
appliances.environment.vacuum,Unknown,27,3,0,0.1111,0,0,69.14,772.19,425.161375
appliances.environment.vacuum,karcher,27,2,1,0.0741,0.5,0.037,79.77,707.87,214.8238824
appliances.kitchen.coffee_grinder,jade,27,1,3,0.037,3,0.1111,123.56,278,148.6445455
appliances.personal.massager,tcl,27,1,0,0.037,0,0,180.91,800.51,292.961746
computers.peripherals.printer,carfashion,27,3,3,0.1111,1,0.1111,25.48,163.66,65.85
computers.peripherals.printer,efremov,27,1,0,0.037,0,0,72.07,214.68,110.8002174
construction.components.faucet,jade,27,0,0,0,,0,159.59,2178.95,213.6773171
construction.tools.drill,puma,27,0,0,0,,0,82.11,126.1,99.71744186
sport.ski,Unknown,27,0,0,0,,0,6.24,717.11,68.10891304
accessories.bag,dauscher,26,0,1,0,,0.0385,10.27,43.73,38.37047619
accessories.bag,defacto,26,1,0,0.0385,0,0,15.42,51.46,27.80347826
construction.tools.generator,dauscher,26,0,1,0,,0.0385,11.02,11.02,11.02
electronics.audio.subwoofer,element,26,3,2,0.1154,0.6667,0.0769,115.81,131.25,125.1842857
electronics.video.projector,bts,26,0,0,0,,0,102.71,390.72,160.605098
electronics.video.tv,alpine,26,4,1,0.1538,0.25,0.0385,82.37,823.7,190.4203333
furniture.kitchen.chair,xiaomi,26,6,3,0.2308,0.5,0.1154,11.84,51.46,23.25671642
kids.swing,xiaomi,26,4,2,0.1538,0.5,0.0769,30.89,75.94,62.70133333
kids.toys,jade,26,0,0,0,,0,64.35,1441.48,238.4843243
appliances.environment.vacuum,philips,25,0,0,0,,0,102.42,308.86,237.9114545
appliances.kitchen.toster,axis,25,1,0,0.04,0,0,100.39,244.28,190.69125
appliances.kitchen.washer,bosch,25,1,0,0.04,0,0,385.83,1744.93,519.1867089
furniture.bedroom.bed,sokolov,25,0,0,0,,0,6.18,310.33,53.40016129
kids.skates,greenbike,25,0,0,0,,0,1152.4,1152.4,1152.4
sport.bicycle,elari,25,1,1,0.04,1,0.04,51.22,66.9,63.62529412
Unknown,arg,24,1,0,0.0417,0,0,7.18,450.44,91.46954545
apparel.shoes.espadrilles,Unknown,24,1,0,0.0417,0,0,47.85,1348.81,226.5466667
apparel.shoes.sandals,amouage,24,0,0,0,,0,217.45,411.59,343.832
apparel.shoes.sandals,chanel,24,1,0,0.0417,0,0,97.27,278,159.8698582
apparel.shoes.sandals,dior,24,0,0,0,,0,87.16,173.6,118.0369048
apparel.shoes.slipons,bq,24,1,0,0.0417,0,0,55.09,115.58,78.39287879
appliances.environment.air_heater,asus,24,0,0,0,,0,93.95,1774.39,322.059
appliances.kitchen.washer,haier,24,0,0,0,,0,283.12,746.45,357.4069298
appliances.personal.massager,philips,24,1,1,0.0417,1,0.0417,66.67,725.48,296.8719231
auto.accessories.compressor,lucente,24,2,0,0.0833,0,0,208.32,619.06,374.3436667
electronics.video.projector,sv,24,0,0,0,,0,67.18,463.07,321.0615909
furniture.bedroom.blanket,midea,24,1,0,0.0417,0,0,46.31,62.22,49.93984615
furniture.bedroom.blanket,samsung,24,0,1,0,,0.0417,102.76,524.17,148.4014035
medicine.tools.tonometer,Unknown,24,0,1,0,,0.0417,0,77.22,45.12333333
sport.bicycle,wiwu,24,1,1,0.0417,1,0.0417,64.35,66.67,65.32684211
Unknown,redmond,23,1,0,0.0435,0,0,21.18,241.94,85.61627451
apparel.shoes,huawei,23,1,2,0.0435,2,0.087,17.99,77.2,36.84204545
apparel.shorts,sv,23,0,0,0,,0,360.11,1096.81,620.623125
appliances.kitchen.mixer,xiaomi,23,1,1,0.0435,1,0.0435,360.11,630.07,467.7286667
appliances.kitchen.oven,artel,23,2,2,0.087,1,0.087,37.04,97.79,52.03172727
appliances.kitchen.refrigerators,bts,23,0,0,0,,0,51.22,105.54,66.12586957
appliances.kitchen.refrigerators,smart,23,0,0,0,,0,489.05,2213.67,1311.830833
appliances.kitchen.washer,artel,23,0,0,0,,0,51.46,146.44,106.082037
construction.tools.drill,adidas,23,1,0,0.0435,0,0,65.69,126.1,110.9910417
construction.tools.generator,rondell,23,0,2,0,,0.087,10.27,56.6,35.09902439
construction.tools.light,tecno,23,1,0,0.0435,0,0,66.67,172.21,148.310597
electronics.audio.subwoofer,kicx,23,0,0,0,,0,19.56,161.91,85.79433333
electronics.clocks,huawei,23,1,1,0.0435,1,0.0435,128.68,283.12,167.2516667
electronics.video.projector,brw,23,0,0,0,,0,67.44,560.89,317.3872917
kids.skates,wingoffly,23,1,1,0.0435,1,0.0435,109.24,124.84,120.2535294
kids.toys,escan,23,2,1,0.087,0.5,0.0435,25.48,76.96,58.24551724
Unknown,crown,22,1,0,0.0455,0,0,27.8,221.11,63.30660377
Unknown,polaris,22,3,3,0.1364,1,0.1364,12.84,143.71,41.18670732
apparel.jeans,defacto,22,1,1,0.0455,1,0.0455,7.7,25.71,14.54339623
apparel.pajamas,Unknown,22,1,1,0.0455,1,0.0455,9.01,153.14,78.73125
apparel.shoes,fubag,22,0,0,0,,0,179.4,646.61,216.0324138
appliances.kitchen.blender,braun,22,0,0,0,,0,54.03,175.01,83.24641026
computers.peripherals.printer,jade,22,0,0,0,,0,93.7,1492.96,345.9617949
electronics.camera.video,bq,22,4,1,0.1818,0.25,0.0455,8.46,48.43,17.34028986
furniture.kitchen.table,tp-link,22,0,2,0,,0.0909,9.2,142.11,37.58947368
Unknown,bfgoodrich,21,1,0,0.0476,0,0,53.41,354.58,165.4651429
Unknown,dewalt,21,1,0,0.0476,0,0,5.14,373.24,68.95325
Unknown,rimax,21,0,0,0,,0,272.34,664.62,369.1053333
accessories.bag,bergner,21,0,0,0,,0,25.34,25.34,25.34
